,PC1,PC2,PC3,PC4,PC5,PC6
Latent_SignAgreement_logTSH,0.06716942185703403,-0.06501055343846604,0.011604199258298253,-0.032283794895592674,-0.027469102667044998,-0.25526760421161876
Latent_Next_logTSH,-0.044882627044896074,0.06382381268488081,0.16852497247044218,0.20848831109997865,-0.05473039367256998,0.34266605506322806
Latent_NextMinusHistMean_logTSH,0.15325281715076258,-0.13380525495129258,0.27887857317716996,0.10690869387906449,-0.030652384989883482,0.10920811814594476
Latent_NextZ_logTSH,0.23166623297535005,-0.2093607806331441,0.16539541090516668,0.05922528862487006,-0.07909753156654065,0.0032857980180347078
Latent_DeltaNorm,0.24200595634070649,0.13574621072968898,0.018256926626062285,-0.0628871899420298,-0.049825953302138654,-0.14777994003201023
Latent_UncertaintyNorm,0.24251063929211386,0.025380398557241963,-0.2445659139426111,-0.17879440639247854,0.042214402107167655,0.2589284231781794
Latent_ForecastAgreement,-0.24242411501992797,-0.017368304465245867,0.21518993690397986,0.19571429200222806,-0.022434233329671434,-0.23279191631527266
Latent_FT4_minus_logTSH,0.028965468956323268,0.3578810411009425,0.11377995183817732,0.08684982384460878,0.006588377294573414,0.09798569990155818
Latent_FT4_over_logTSH_abs,0.04092169271975713,0.19048153850511723,0.13736644887681299,0.0590366612897001,0.041377836757997694,0.12164472614210059
Latent_Delta_FT4_x_Window_1M->3M,0.1092315732707567,0.10459149024170086,-0.07082163407631567,0.23675455937681822,0.14749692220726493,-0.08321291936584822
Latent_Delta_FT4_x_Window_3M->6M,0.06379920609531181,0.15575918022310928,0.21508541767663808,-0.08161525114305221,0.2920823880310526,-0.04390939202632055
Latent_Delta_FT4_x_Window_6M->12M,0.04817202871419072,0.24307274653247501,0.06855817035141072,0.008317302095483639,-0.2803629242644564,0.0425812671347771
Latent_Delta_FT4_x_Window_HighRisk,0.12433634514867181,0.30736403561037784,0.13401216089625542,0.07828707132048814,0.05032774410181668,-0.03802524474202219
Latent_Delta_logTSH_x_Window_1M->3M,0.2218359360954146,-0.1703641680141673,0.06172093325849454,0.2654203521976701,-0.14681295018056878,0.04706959044028504
Latent_Delta_logTSH_x_Window_3M->6M,0.051020115128503886,-0.11365385317995748,0.13501448432143515,-0.20489210510061356,0.1408469110080792,-0.06133677649509132
Latent_Delta_logTSH_x_Window_6M->12M,-0.0031501919587111796,-0.20494286796223543,-0.06345313856775607,-0.07170822394147121,0.19703054767093856,-0.1712659928257238
Latent_Delta_logTSH_x_Window_HighRisk,0.18224174591031633,-0.28944965007305884,0.08160879153956868,0.04093225298240648,0.0754227785071675,-0.09009920541898003
Latent_DeltaNorm_x_Window_1M->3M,0.24575574890922416,-0.11039452607720812,0.013913160321811158,0.3189656884174587,-0.08128373320684631,-0.015597952810198908
Latent_DeltaNorm_x_Window_3M->6M,0.10026660707813068,0.09075407053841553,0.24287714335192706,-0.23105726090285306,0.3646652830280746,-0.05222130851178098
Latent_DeltaNorm_x_Window_6M->12M,0.03720606694298807,0.185446033501231,-0.10544901396011273,-0.14904503182104512,-0.3427976296696172,-0.29726964882342477
Latent_DeltaNorm_x_Window_HighRisk,0.2621458989422776,0.11312768712463116,0.09186558068001778,-0.03280757061197321,-0.06383047091088605,-0.255125098421328
Latent_UncertaintyNorm_x_Window_1M->3M,0.25163197536810966,-0.10924559973897234,-0.053564117005447755,0.2693865887662735,-0.056748661017169036,0.08943522904417643
Latent_UncertaintyNorm_x_Window_3M->6M,0.10835186914451009,0.025910404914498916,0.16159698916821585,-0.28692259713905527,0.35668904714823274,0.00599167391937706
Latent_UncertaintyNorm_x_Window_6M->12M,0.05027802817372045,0.13610557934098375,-0.18960383764949074,-0.20188220294708564,-0.27632719758170277,-0.21946981941549726
Latent_UncertaintyNorm_x_Window_HighRisk,0.2874808671568905,0.024245423943806584,-0.06793737101661607,-0.10628590565007075,-0.009563798739352685,-0.07505647798828564
