Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Rolling Landmark,Train_Fit,Train Fit,MLP,prauc,PR-AUC,0.21805754577301117,0.20999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,MLP,auc,AUC,0.7711683550173032,0.20999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,MLP,recall,Sensitivity,0.621301775147929,0.20999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,MLP,specificity,Specificity,0.7545407368967306,0.20999999999999996,2096,169
Rolling Landmark,Train_Fit,Train Fit,MLP,f1,F1,0.28112449799196787,0.20999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,MLP,prauc,PR-AUC,0.19002691317073536,0.20999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,MLP,auc,AUC,0.7442970186972423,0.20999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,MLP,recall,Sensitivity,0.47337278106508873,0.20999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,MLP,specificity,Specificity,0.8188894654903995,0.20999999999999996,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,MLP,f1,F1,0.26755852842809363,0.20999999999999996,2096,169
Rolling Landmark,Test_Temporal,Temporal Test,MLP,prauc,PR-AUC,0.1834776408871835,0.20999999999999996,514,41
Rolling Landmark,Test_Temporal,Temporal Test,MLP,auc,AUC,0.7368638168411281,0.20999999999999996,514,41
Rolling Landmark,Test_Temporal,Temporal Test,MLP,recall,Sensitivity,0.7073170731707317,0.20999999999999996,514,41
Rolling Landmark,Test_Temporal,Temporal Test,MLP,specificity,Specificity,0.6849894291754757,0.20999999999999996,514,41
Rolling Landmark,Test_Temporal,Temporal Test,MLP,f1,F1,0.2648401826484018,0.20999999999999996,514,41
Rolling Landmark,Train_Fit,Train Fit,Cox PH,prauc,PR-AUC,0.3080036790167407,0.59,2096,169
Rolling Landmark,Train_Fit,Train Fit,Cox PH,auc,AUC,0.842005385935768,0.59,2096,169
Rolling Landmark,Train_Fit,Train Fit,Cox PH,recall,Sensitivity,0.9053254437869822,0.59,2096,169
Rolling Landmark,Train_Fit,Train Fit,Cox PH,specificity,Specificity,0.6263622210690192,0.59,2096,169
Rolling Landmark,Train_Fit,Train Fit,Cox PH,f1,F1,0.29366602687140114,0.59,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Cox PH,prauc,PR-AUC,0.22712310778915792,0.59,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Cox PH,auc,AUC,0.7950703641494429,0.59,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Cox PH,recall,Sensitivity,0.8402366863905325,0.59,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Cox PH,specificity,Specificity,0.6185781006746238,0.59,2096,169
Rolling Landmark,Validation_OOF,Validation OOF,Cox PH,f1,F1,0.27151051625239003,0.59,2096,169
Rolling Landmark,Test_Temporal,Temporal Test,Cox PH,prauc,PR-AUC,0.3117736995867141,0.59,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Cox PH,auc,AUC,0.8386531222606095,0.59,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Cox PH,recall,Sensitivity,0.926829268292683,0.59,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Cox PH,specificity,Specificity,0.6236786469344608,0.59,514,41
Rolling Landmark,Test_Temporal,Temporal Test,Cox PH,f1,F1,0.29571984435797666,0.59,514,41
