g3_n_Logit,g3_n_Prob,g4_nh_Logit,g4_nh_Prob,committee_g34_MeanLogit,committee_g34_StdLogit,committee_g34_MeanProb,committee_g34_MaxProb,committee_g34_MinProb,committee_g34_SpreadProb,g3_n_x_g4_nh,g3_n_minus_g4_nh,Window_12M->18M,Window_12M->18M_x_g3_n_Logit,Window_12M->18M_x_g4_nh_Logit,Window_18M->24M,Window_18M->24M_x_g3_n_Logit,Window_18M->24M_x_g4_nh_Logit,Window_1M->3M,Window_1M->3M_x_g3_n_Logit,Window_1M->3M_x_g4_nh_Logit,Window_3M->6M,Window_3M->6M_x_g3_n_Logit,Window_3M->6M_x_g4_nh_Logit,Window_6M->12M,Window_6M->12M_x_g3_n_Logit,Window_6M->12M_x_g4_nh_Logit
-1.565731828030896,0.17282570491946203,-1.659119381337661,0.159880244942666,-1.6124256046842786,0.0660349722216337,0.16635297493106402,0.17282570491946203,0.159880244942666,0.012945459976796025,2.597736021863305,0.09338755330676496,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.565731828030896,-1.659119381337661,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.3651395681744118,0.20340625744130245,-1.735501333043347,0.1498852507638678,-1.5503204506088795,0.26188531543104177,0.17664575410258512,0.20340625744130245,0.1498852507638678,0.053521006677434646,2.369201540356911,0.37036176486893524,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.3651395681744118,-1.735501333043347,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.2519995205941443,0.22235420416330787,-2.0298692468796387,0.11610233961885617,-1.6409343837368915,0.5500369583361967,0.16922827189108203,0.22235420416330787,0.11610233961885617,0.1062518645444517,2.5413953239621043,0.7778697262854943,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.2519995205941443,-2.0298692468796387,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.2289779593066006,0.2263603568147274,-1.518680954099208,0.17965583775080252,-1.3738294567029041,0.2048509521479037,0.20300809728276498,0.2263603568147274,0.17965583775080252,0.04670451906392489,1.8664254198066457,0.2897029947926073,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.2289779593066006,-1.518680954099208,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.475062907448194,0.1861742963902337,-1.9001704277121942,0.1300891865262937,-1.687616667580194,0.30059641031207224,0.1581317414582637,0.1861742963902337,0.1300891865262937,0.05608510986394,2.8028709157482274,0.4251075202640002,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.475062907448194,-1.9001704277121942,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.622823982282286,0.16481577665105576,-1.6279190989803507,0.16411562324791099,-1.6253715406313183,0.0036027915681383013,0.16446569994948337,0.16481577665105576,0.16411562324791099,0.0007001534031447765,2.641826155040684,0.005095116698064617,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.622823982282286,-1.6279190989803507,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7221429251481273,0.1515953472371074,-2.0726336322490173,0.11178527949840894,-1.8973882786985723,0.24783435573390736,0.13169031336775816,0.1515953472371074,0.11178527949840894,0.03981006773869847,3.5693713462017107,0.35049070710089003,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7221429251481273,-2.0726336322490173,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.2908063813216173,0.21571635369167055,-1.6033136610800631,0.16751899442500015,-1.4470600212008402,0.22097601668735856,0.19161767405833535,0.21571635369167055,0.16751899442500015,0.0481973592666704,2.0695675049822704,0.31250727975844583,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.2908063813216173,-1.6033136610800631,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.3276347898856193,0.2095508678302701,-1.80771234348471,0.14091483707478233,-1.5676735666851647,0.33946609364536523,0.17523285245252623,0.2095508678302701,0.14091483707478233,0.06863603075548777,2.3999817973159634,0.48007755359909066,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.3276347898856193,-1.80771234348471,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.3282729112626885,0.20944518944123122,-2.1918624866284526,0.10048362429988084,-1.7600676989455706,0.6106500449031429,0.15496440687055602,0.20944518944123122,0.10048362429988084,0.10896156514135039,2.9113915662014507,0.8635895753657641,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.3282729112626885,-2.1918624866284526,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.9964333703764289,0.26964324094123293,-1.4341889575783606,0.19244683509262675,-1.2153111639773948,0.30953994421278497,0.23104503801692983,0.26964324094123293,0.19244683509262675,0.07719640584860618,1.429073736756463,0.43775558720193175,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.9964333703764289,-1.4341889575783606,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.3135689482098922,0.21189024276151855,-1.5742887218782144,0.17160585972789671,-1.4439288350440533,0.1843567199502925,0.19174805124470762,0.21189024276151855,0.17160585972789671,0.040284383033621834,2.067936780576262,0.2607197736683222,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.3135689482098922,-1.5742887218782144,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7710563680707525,0.14541100844138755,-1.3662795440492763,0.20322160714926626,-1.5686679560600143,0.28622043713273965,0.17431630779532692,0.20322160714926626,0.14541100844138755,0.05781059870787872,2.419758087053275,-0.4047768240214762,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7710563680707525,-1.3662795440492763,0.0,-0.0,-0.0,0.0,-0.0,-0.0
