g2_nh_Logit,g2_nh_Prob,g3_n_Logit,g3_n_Prob,committee_g23_MeanLogit,committee_g23_StdLogit,committee_g23_MeanProb,committee_g23_MaxProb,committee_g23_MinProb,committee_g23_SpreadProb,g2_nh_x_g3_n,g2_nh_minus_g3_n,Window_12M->18M,Window_12M->18M_x_g2_nh_Logit,Window_12M->18M_x_g3_n_Logit,Window_18M->24M,Window_18M->24M_x_g2_nh_Logit,Window_18M->24M_x_g3_n_Logit,Window_1M->3M,Window_1M->3M_x_g2_nh_Logit,Window_1M->3M_x_g3_n_Logit,Window_3M->6M,Window_3M->6M_x_g2_nh_Logit,Window_3M->6M_x_g3_n_Logit,Window_6M->12M,Window_6M->12M_x_g2_nh_Logit,Window_6M->12M_x_g3_n_Logit
-1.0855580359482588,0.2524556516864785,-1.0972012887895717,0.25026465579063895,-1.0913796623689151,0.00823302303916185,0.2513601537385587,0.2524556516864785,0.25026465579063895,0.0021909958958395426,1.191075676098306,0.011643252841312846,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.0855580359482588,-1.0972012887895717,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.1874076831578104,0.23372289013100864,-0.5897731085889452,0.3566869154242343,-0.8885903958733778,0.42259146034918205,0.29520490277762146,0.3566869154242343,0.23372289013100864,0.12296402529322567,0.7003011204583791,-0.5976345745688653,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.1874076831578104,-0.5897731085889452,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.042908588070749,0.2605891698943377,-1.081701775394986,0.25318410657950796,-1.0623051817328675,0.027430925820808062,0.2568866382369228,0.2605891698943377,0.25318410657950796,0.007405063314829763,1.1281160712908072,0.03879318732423709,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.042908588070749,-1.081701775394986,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-2.2507860345396313,0.09528168473773815,-1.5764663866605044,0.1712965101550292,-1.9136262106000679,0.4768159957026556,0.13328909744638368,0.1712965101550292,0.09528168473773815,0.07601482541729104,3.548288527016618,-0.6743196478791269,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-2.2507860345396313,-1.5764663866605044,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-2.0170899444122687,0.11742023226234842,-1.5231736043575879,0.17899466534084404,-1.7701317743849283,0.34925159339150563,0.14820744880159623,0.17899466534084404,0.11742023226234842,0.061574433078495625,3.072378160943882,-0.4939163400546809,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-2.0170899444122687,-1.5231736043575879,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4447006921695544,0.19081847472285396,-1.5641211710284908,0.17305608093179298,-1.5044109315990226,0.08444303041369863,0.18193727782732347,0.19081847472285396,0.17305608093179298,0.017762393791060982,2.2596869384219147,0.11942047885893636,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4447006921695544,-1.5641211710284908,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.1253570889662297,0.24501895113537495,-1.2059844350128228,0.23041232997973807,-1.1656707619895261,0.0570121431386204,0.2377156405575565,0.24501895113537495,0.23041232997973807,0.014606621155636879,1.3571631331246135,0.08062734604659316,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.1253570889662297,-1.2059844350128228,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4378619759010054,0.1918766522028862,-0.989891564525263,0.27093349621932505,-1.2138767702131341,0.3167629156547148,0.23140507421110562,0.27093349621932505,0.1918766522028862,0.07905684401643887,1.4233274408960321,-0.44797041137574245,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4378619759010054,-0.989891564525263,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4602113285905631,0.18843500518485753,-1.732497164778098,0.15026844362536512,-1.5963542466843306,0.19253516118925534,0.16935172440511131,0.18843500518485753,0.15026844362536512,0.03816656155949241,2.52981198676001,0.2722858361875349,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4602113285905631,-1.732497164778098,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.7281328403902068,0.1508265657722197,-1.4538609227144654,0.18940807733286139,-1.590996881552336,0.1939395328775552,0.17011732155254056,0.18940807733286139,0.1508265657722197,0.038581511560641685,2.512464805902876,-0.27427191767574133,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.7281328403902068,-1.4538609227144654,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-2.007973934126343,0.11836824895476089,-1.1435126230120687,0.2416760230563709,-1.575743278569206,0.6112664551623173,0.18002213600556588,0.2416760230563709,0.11836824895476089,0.12330777410161001,2.2961435403526775,-0.8644613111142745,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-2.007973934126343,-1.1435126230120687,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.0018037588075788,0.2685869287031566,-0.31727779492218516,0.42133931296743743,-0.659540776864882,0.4840329509616196,0.344963120835297,0.42133931296743743,0.2685869287031566,0.15275238426428084,0.3178500875392252,-0.6845259638853936,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.0018037588075788,-0.31727779492218516,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-2.0483667787768733,0.11421751324872116,-2.0579031681442714,0.11325624264822957,-2.0531349734605726,0.006743245589722479,0.11373687794847537,0.11421751324872116,0.11325624264822957,0.0009612706004915872,4.215340483566403,0.00953638936739809,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-2.0483667787768733,-2.0579031681442714,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.8794182341312375,0.13245571066015913,-1.3514391426951813,0.2056351891748837,-1.6154286884132094,0.3733375958791476,0.1690454499175214,0.2056351891748837,0.13245571066015913,0.07317947851472456,2.539919367100011,-0.5279790914360563,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.8794182341312375,-1.3514391426951813,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.4186303701840604,0.19487638813471292,-0.9905435366274687,0.27080473235870817,-1.2045869534057645,0.3027031029445428,0.23284056024671054,0.27080473235870817,0.19487638813471292,0.07592834422399525,1.4052151440492544,-0.4280868335565916,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.4186303701840604,-0.9905435366274687,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-2.8811409498400886,0.05309374611582777,-0.4619872001266319,0.3865145107578674,-1.6715640749833602,1.7106000211552492,0.2198041284368476,0.3865145107578674,0.05309374611582777,0.3334207646420396,1.3310502405868074,-2.4191537497134568,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-2.8811409498400886,-0.4619872001266319,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.127204465540959,0.24467737579393528,-1.1529106221025602,0.2399578476743401,-1.1400575438217597,0.018176997622951305,0.24231761173413768,0.24467737579393528,0.2399578476743401,0.004719528119595168,1.299566001603611,0.025706156561601246,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.127204465540959,-1.1529106221025602,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.4456919113263089,0.39038553959987393,-1.0638427055286483,0.25657579378464357,-0.7547673084274786,0.4370986183763242,0.3234806666922587,0.39038553959987393,0.25657579378464357,0.13380974581523036,0.47414608877761494,0.6181507942023394,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.4456919113263089,-1.0638427055286483,0.0,-0.0,-0.0,0.0,-0.0,-0.0
