main_model,gate_feature,quantile,direction,cutoff,gate_rate,specialist,train_acc,train_bacc,train_f1,train_auc,threshold
Elastic+LGBM Blend,TSH_last_minus_prev,0.9,high,55.429400000000015,0.10062893081761007,Elastic,0.8062893081761007,0.7735369964847576,0.6956521739130435,0.8373840258168617,0.4149999999999998
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.9,high,56.47701132229973,0.10062893081761007,Elastic,0.8062893081761007,0.7735369964847576,0.6956521739130435,0.8365340286982077,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT4_last,0.9,high,1172.907,0.10062893081761007,RF,0.8062893081761007,0.7735369964847576,0.6956521739130435,0.8363611479283121,0.4149999999999998
Elastic+LGBM Blend,ThyroidW_x_FT3_last,0.9,high,542.7108000000004,0.10062893081761007,RF,0.8062893081761007,0.7735369964847576,0.6956521739130435,0.835752463550971,0.4149999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.75,high,12.8575,0.25031446540880503,Elastic,0.8062893081761007,0.7725393303751513,0.6944444444444444,0.847857719126376,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.75,high,13.719000000000001,0.25031446540880503,Elastic,0.8062893081761007,0.7725393303751513,0.6944444444444444,0.8474903474903476,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.75,high,13.722999999999999,0.25031446540880503,Elastic,0.8062893081761007,0.7725393303751513,0.6944444444444444,0.8474903474903476,0.4149999999999998
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.75,high,14.468625498007968,0.25031446540880503,Elastic,0.8062893081761007,0.7725393303751513,0.6944444444444444,0.8474543306632859,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_TSH_last_plus1,0.65,high,12.848356573705178,0.34968553459119495,ET,0.8062893081761007,0.7725393303751513,0.6944444444444444,0.8461721316198928,0.4049999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.7,high,5.578799999999996,0.30062893081761005,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8511640638506309,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_0M,0.9,high,1.2000826618546871,0.10062893081761007,LGBM,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8509695729844984,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.7,high,6.958599999999972,0.30062893081761005,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8509047426957873,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.7,high,6.962599999999972,0.30062893081761005,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8509047426957873,0.4149999999999998
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.7,high,7.3872509960159265,0.30062893081761005,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8507534720221287,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.65,high,2.413730422058349,0.35094339622641507,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8501267792312568,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.65,high,2.408830422058349,0.34968553459119495,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8498746614418256,0.4149999999999998
