,PC1,PC2,PC3,PC4,PC5,PC6
Latent_Next_logTSH,-0.03785063386473937,-0.0675803201811157,0.1857099784631863,0.2141420840632373,-0.0870872018684165,0.34296193599312613
Latent_NextMinusHistMean_logTSH,0.10209338786670273,0.18831256730523596,0.26154414248569086,0.13791468819138958,-0.04507034881113762,0.11343506338005786
Latent_NextZ_logTSH,0.157891091227901,0.2842018210372426,0.13942923592531908,0.07976946131178414,-0.08062744250324824,-0.01692991752876728
Latent_DeltaNorm,0.25809616992546786,-0.04814983654165031,0.038003042530436064,-0.013771476449406253,-0.05220514929742516,-0.1930990811687496
Latent_UncertaintyNorm,0.2519968986280772,-0.008061478636323605,-0.18728722308550944,-0.22555316323821914,0.005631511079167,0.22592170027057035
Latent_ForecastAgreement,-0.23614091108168853,-0.02160257813564723,0.15324417597422296,0.23018934709097674,0.002881780819069186,-0.1610840294118968
Latent_FT4_minus_logTSH,0.11345430177132784,-0.3255893010062466,0.1410101337891095,0.10517776934695129,0.0072474349801319475,0.10923805055670908
Latent_FT4_over_logTSH_abs,0.0950375317983013,-0.17690413074103786,0.14703787929196852,0.06970052809250707,0.019092284377877,0.10552782729258446
Latent_Delta_FT4_x_Window_1M->3M,0.14710017896054287,-0.06414837897378453,-0.10880320768364578,0.24410333906624868,0.14964258122234114,-0.014020799867634035
Latent_Delta_FT4_x_Window_3M->6M,0.08835330662143502,-0.10342821052919564,0.25240995585705617,-0.059964125501909764,0.3126280179846313,-0.04533156221548195
Latent_Delta_FT4_x_Window_6M->12M,0.09999937856119914,-0.22120136383623773,0.1056337395992177,0.013554248767279155,-0.27961876720868795,-0.004494982927790487
Latent_Delta_FT4_x_Window_HighRisk,0.1951814333416464,-0.2423129218248064,0.14988984290001917,0.10804000380924413,0.05529826566580905,-0.034937975070659225
Latent_Delta_logTSH_x_Window_1M->3M,0.16347450186908966,0.23470935998212428,0.012292686587079127,0.2631343122685397,-0.14580102820721658,0.05244266425692053
Latent_Delta_logTSH_x_Window_3M->6M,0.025732303534924405,0.12741280253553053,0.15942665662633462,-0.1813641729035389,0.14981265418380127,-0.0761667698567811
Latent_Delta_logTSH_x_Window_6M->12M,-0.041667362251275965,0.1915753347707158,-0.10025369915423761,-0.08679471272140585,0.18627808168346022,-0.12596854410633243
Latent_Delta_logTSH_x_Window_HighRisk,0.10809355799804782,0.33643750321243016,0.039711637484081304,0.04589791021215671,0.0739757241835601,-0.0696795702286561
Latent_DeltaNorm_x_Window_1M->3M,0.21367317321719237,0.17017082269706799,-0.05350193812032778,0.3211876838168858,-0.0632771712833745,0.01736803790710978
Latent_DeltaNorm_x_Window_3M->6M,0.10098337151126623,-0.030050878821788612,0.298895196948423,-0.17944155330642128,0.36699681371384224,-0.07123385693392174
Latent_DeltaNorm_x_Window_6M->12M,0.07678667658636104,-0.1776981437748908,-0.04810297709701754,-0.1325306877801636,-0.3262500249312736,-0.3223571557369066
Latent_DeltaNorm_x_Window_HighRisk,0.2704875350992544,-0.020830723073558537,0.10953754711982668,0.02928546337858543,-0.052674697335838114,-0.2587958830479779
Latent_UncertaintyNorm_x_Window_1M->3M,0.22141141609142256,0.15228188761356326,-0.09656477514513653,0.21431544515218948,-0.0633804240424732,0.15160492599163736
Latent_UncertaintyNorm_x_Window_3M->6M,0.10747541545776741,0.007897282625401786,0.20177200183834568,-0.2554409037967439,0.3641607509165807,-0.01278562928333543
Latent_UncertaintyNorm_x_Window_6M->12M,0.09319137999627537,-0.14629306904055484,-0.12316825486359845,-0.20275167847672226,-0.2714531302445177,-0.2328212526401041
Latent_UncertaintyNorm_x_Window_HighRisk,0.2874317378458755,0.02259163852220099,-0.03935959176434075,-0.11633078970459737,-0.02021304288020124,-0.046283661039466524
