Group,Model,CV_PR_AUC,AUC,PR_AUC,C_Index,Brier,Recall,Specificity,F1,Calibration_Intercept,Calibration_Slope,Threshold,Best_Params
direct_plus_state_only,LightGBM,0.25776892850992666,0.8018357139173928,0.2225320064718453,0.6965615030131159,0.08896773109035212,0.4634146341463415,0.8710359408033826,0.3140495867768595,-1.3166850535152297,0.5254147207787017,0.36,"{'reg_lambda': 1.0, 'reg_alpha': 0.5, 'num_leaves': 15, 'min_child_samples': 10}"
direct_plus_state_only,Balanced RF,0.2717552141688928,0.8255040478523179,0.2370969154423967,0.7352002835873803,0.19128614475394043,0.7804878048780488,0.7547568710359408,0.3386243386243386,-2.610458171215912,1.286895945825354,0.6,"{'sampling_strategy': 'not minority', 'n_estimators': 500, 'min_samples_leaf': 5, 'max_depth': 3}"
direct_plus_state_delta,Logistic Reg.,0.30464971412429603,0.8221007580054658,0.3056001939024444,0.6756469337114498,0.06793866978637597,0.5365853658536586,0.8477801268498943,0.32592592592592595,-0.5578566368960689,0.7578697835807608,0.15999999999999998,"{'lr__solver': 'saga', 'lr__penalty': 'l2', 'lr__C': 10}"
direct_plus_state_delta,Elastic LR,0.30434086145861944,0.8224617129892229,0.3057798470044801,0.6754696915987238,0.0678622128890255,0.5365853658536586,0.8498942917547568,0.3283582089552239,-0.5503948441019725,0.7623648067225923,0.15999999999999998,"{'lr__l1_ratio': 0.3, 'lr__C': 5}"
direct_plus_state_delta,LightGBM,0.2574934278454472,0.8078688186459032,0.2436724780339955,0.707018787663949,0.0881580529455702,0.6585365853658537,0.7674418604651163,0.30337078651685395,-1.266972255878131,0.4696265499896174,0.12999999999999998,"{'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 15, 'min_child_samples': 40}"
direct_plus_state_delta,Balanced RF,0.2773313468533541,0.8232351879544165,0.2218284623265333,0.7247429989365474,0.17798852787092953,0.7560975609756098,0.7357293868921776,0.3147208121827411,-2.449786266089473,1.225308811157528,0.5399999999999999,"{'sampling_strategy': 'all', 'n_estimators': 100, 'min_samples_leaf': 10, 'max_depth': 3}"
direct_plus_state_delta_uncertainty,Logistic Reg.,0.30293329989265655,0.8250399628732017,0.2890619536809674,0.6809641970932293,0.06833238873588289,0.4634146341463415,0.8837209302325582,0.33043478260869563,-0.5742289118087454,0.7610573662520503,0.18999999999999997,"{'lr__solver': 'saga', 'lr__penalty': 'l2', 'lr__C': 10}"
direct_plus_state_delta_uncertainty,Elastic LR,0.3022895627594026,0.8255556128499975,0.29161310758568765,0.6823821339950372,0.06825838863544263,0.43902439024390244,0.8816067653276956,0.3130434782608696,-0.5669439315568906,0.7655700200488017,0.18999999999999997,"{'lr__l1_ratio': 0.3, 'lr__C': 5}"
direct_plus_state_delta_uncertainty,LightGBM,0.23749929229099878,0.8097767235600474,0.2696560823182506,0.7040056717476072,0.08599605786181447,0.7804878048780488,0.6744186046511628,0.28193832599118945,-1.2605576257819888,0.4863821903195408,0.06,"{'reg_lambda': 0.1, 'reg_alpha': 0.1, 'num_leaves': 15, 'min_child_samples': 40}"
direct_plus_state_delta_uncertainty,Balanced RF,0.275267964608178,0.8217398030217089,0.2252244135597725,0.7274016306274371,0.1890945616634246,0.7317073170731707,0.7526427061310782,0.3191489361702128,-2.602682763850497,1.5182423823257003,0.59,"{'sampling_strategy': 'not minority', 'n_estimators': 500, 'min_samples_leaf': 10, 'max_depth': 2}"
predicted_plus_current_compact,Logistic Reg.,0.30436833502321753,0.8121487134533079,0.2716889510844714,0.6703296703296703,0.06893710939384946,0.3902439024390244,0.864693446088795,0.2644628099173554,-0.5967217479474429,0.7370001713388474,0.17999999999999997,"{'lr__solver': 'saga', 'lr__penalty': 'l2', 'lr__C': 5}"
predicted_plus_current_compact,Elastic LR,0.3036185579145354,0.8124065384417057,0.27144444017603436,0.6703296703296703,0.0689241441609823,0.3902439024390244,0.864693446088795,0.2644628099173554,-0.594237872984268,0.7384527621901522,0.17999999999999997,"{'lr__l1_ratio': 0.3, 'lr__C': 5}"
predicted_plus_current_compact,LightGBM,0.24529603637540998,0.8102408085391636,0.2215558892981099,0.6786600496277916,0.08744995835563124,0.6829268292682927,0.7949260042283298,0.3373493975903614,-1.205274531084088,0.47951502319738426,0.12999999999999998,"{'reg_lambda': 0.0, 'reg_alpha': 0.1, 'num_leaves': 15, 'min_child_samples': 10}"
predicted_plus_current_compact,Balanced RF,0.2761880106128732,0.8191099881400505,0.22884765863098047,0.728642325416519,0.1803419684865943,0.7560975609756098,0.7399577167019028,0.31794871794871793,-2.443551950294769,1.197413007929109,0.57,"{'sampling_strategy': 'all', 'n_estimators': 100, 'min_samples_leaf': 3, 'max_depth': 3}"
direct_plus_physio_fusion,Logistic Reg.,0.25368580480640657,0.8415407621306656,0.33050692574763696,0.7240340304856434,0.0676647685008525,0.8292682926829268,0.6976744186046512,0.3119266055045872,4.591501492888253,3.1073813085516355,0.09,"{'lr__solver': 'saga', 'lr__penalty': 'l1', 'lr__C': 0.01}"
direct_plus_physio_fusion,Elastic LR,0.2513680059115378,0.8488114268034858,0.3474193377478844,0.7646224742998936,0.06293787293550851,0.7073170731707317,0.8160676532769556,0.36942675159235666,0.7942380918584107,1.5107323446248482,0.14999999999999997,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}"
