Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Stage2 binary_interval_slope,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.6331360946745562,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8188894654903995,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3424,0.15999999999999998,2096,169
Stage2 binary_interval_slope,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3301193486293128,0.15999999999999998,514,41
Stage2 binary_interval_slope,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8396844222142009,0.15999999999999998,514,41
Stage2 binary_interval_slope,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6829268292682927,0.15999999999999998,514,41
Stage2 binary_interval_slope,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8329809725158562,0.15999999999999998,514,41
Stage2 binary_interval_slope,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3783783783783784,0.15999999999999998,514,41
Stage2 binary_early_late,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.2436915826582879,0.13999999999999999,2096,169
Stage2 binary_early_late,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8197738152630172,0.13999999999999999,2096,169
Stage2 binary_early_late,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.650887573964497,0.13999999999999999,2096,169
Stage2 binary_early_late,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8116242864556306,0.13999999999999999,2096,169
Stage2 binary_early_late,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3426791277258567,0.13999999999999999,2096,169
Stage2 binary_early_late,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.22303715200207525,0.13999999999999999,2096,169
Stage2 binary_early_late,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.80793949573639,0.13999999999999999,2096,169
Stage2 binary_early_late,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.6094674556213018,0.13999999999999999,2096,169
Stage2 binary_early_late,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8297872340425532,0.13999999999999999,2096,169
Stage2 binary_early_late,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.3433333333333333,0.13999999999999999,2096,169
Stage2 binary_early_late,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.33411757010103754,0.13999999999999999,514,41
Stage2 binary_early_late,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8402516371886763,0.13999999999999999,514,41
