Group,Interval_Name,n,positives,AUC,PR_AUC,Brier,Calibration_Intercept,Calibration_Slope
direct_windowed_core,6M->12M,110,8,0.866421568627451,0.4658234126984127,0.05535860743611238,1.2482833710621641,1.8700867364097848
direct_windowed_core,12M->18M,128,2,0.7380952380952381,0.04327731092436975,0.017632915643887866,-1.9897611812033387,0.682067218548126
direct_windowed_core,18M->24M,137,4,0.9548872180451128,0.5347222222222222,0.023232428260820157,2.9228194237246,2.0752102708924083
direct_windowed_core_plus_champion_calibrated,1M->3M,68,17,0.530565167243368,0.26323716583686196,0.19166001889413073,-0.6555251240969505,0.31271460914550514
direct_windowed_core_plus_champion_calibrated,3M->6M,71,10,0.6557377049180328,0.4525686706232709,0.11030282442054351,0.2962253481852193,1.239554019019378
direct_windowed_core_plus_champion_calibrated,6M->12M,110,8,0.8651960784313726,0.45575396825396824,0.05665846889425401,1.8277481862837837,2.2690673765760008
direct_windowed_core_plus_champion_calibrated,12M->18M,128,2,0.7380952380952381,0.04327731092436975,0.01711856965554946,-1.8359954286673816,0.707798639288185
direct_windowed_core_plus_champion_calibrated,18M->24M,137,4,0.9548872180451127,0.4963235294117647,0.023569321008448964,3.1520703216539365,2.0989236071169968
stage1_nonhyper_scope_plus_champion_calibrated,1M->3M,68,17,0.5651672433679354,0.2808718749292105,0.18926481837637826,-0.12394212729603404,0.6870573983677807
stage1_nonhyper_scope_plus_champion_calibrated,3M->6M,71,10,0.6655737704918032,0.45078572157607977,0.1106582293251279,0.09674799691671103,1.1574713453271475
stage1_nonhyper_scope_plus_champion_calibrated,6M->12M,110,8,0.8455882352941176,0.44217462453482187,0.05775306121199758,1.193303697232041,1.947749109675636
stage1_nonhyper_scope_plus_champion_calibrated,12M->18M,128,2,0.7460317460317459,0.043498168498168496,0.016967485861419034,-1.8758444510549057,0.692343506134368
stage1_nonhyper_scope_plus_champion_calibrated,18M->24M,137,4,0.9548872180451128,0.48596491228070177,0.024168968700425682,3.3265978075386546,2.207911437601317
monotonic_tree_direct_plus_champion_calibrated,1M->3M,68,17,0.5697808535178777,0.29278379145425854,0.18703176282424658,0.10824216868146899,0.9294450451698155
monotonic_tree_direct_plus_champion_calibrated,3M->6M,71,10,0.6967213114754098,0.39098211748467504,0.11416732918666518,1.0281931635873305,1.6319739130315674
monotonic_tree_direct_plus_champion_calibrated,6M->12M,110,8,0.8541666666666667,0.2992843256388148,0.06163064735834565,1.8877238953737943,2.4876396152835456
monotonic_tree_direct_plus_champion_calibrated,12M->18M,128,2,0.6944444444444444,0.04390681003584229,0.016599258416918342,-2.1674595722068686,0.6036946183723744
monotonic_tree_direct_plus_champion_calibrated,18M->24M,137,4,0.943609022556391,0.505787037037037,0.024369613201376424,4.580419862179208,2.7008746466029376
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,1M->3M,68,17,0.5490196078431372,0.28214237620036453,0.19596805043536475,-0.8611735087285101,0.17120723655947018
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,3M->6M,71,10,0.6442622950819672,0.3309624942044984,0.11414618209102681,-0.16326299860772497,0.9850444970617478
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,6M->12M,110,8,0.8137254901960784,0.30971564463105816,0.060055686625408986,-0.2190653792375843,1.1529797878514494
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,12M->18M,128,2,0.746031746031746,0.04419642857142857,0.017180655714881882,-1.885979804625065,0.6516144201033143
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,18M->24M,137,4,0.9492481203007519,0.36093073593073594,0.02509210554573009,2.2390426622606645,1.589548352521643
