Backbone_Run,Backbone_Source,Gate_Mode,Gate_Temperature,Gate_Side_Cap,Gate_Global_Floor,SearchStage,Experiment_ID,Experiment,PackName,ModelFamily,ComplexityScore,Features,CV_PR_AUC,Val_AUC,Val_PR_AUC,Val_F1,Val_Threshold,Test_AUC,Test_PR_AUC,Test_F1,Test_Recall,Test_Specificity,Test_C_Index,Best_Params,Status,ComponentModels
softmax_free,retrained,softmax_free,1.0,,,wide,softmax_free::teacher_landmark_raw_cal::lightgbm_small_fixed,teacher_landmark_raw_cal__lightgbm_small_fixed,teacher_landmark_raw_cal,lightgbm_small_fixed,3,4,0.16503992303340406,0.822555328833778,0.3213932871665097,0.43902439024390244,0.18999999999999995,0.7585726808642292,0.17903435912383076,0.17142857142857143,0.14634146341463414,0.9513742071881607,0.7061325771003191,,ok,
softmax_free,retrained,softmax_free,1.0,,,ensemble,softmax_free::rank_average_top3,rank_average_top3,top3_rank_average,rank_average,5,3,0.1621295402514376,0.8195730654528331,0.3205887063971954,0.3333333333333333,0.7549999999999997,0.7904398494302067,0.24860541904599692,0.31645569620253167,0.6097560975609756,0.8054968287526427,0.739099610067352,,ok,teacher_landmark_raw_cal__elastic_lr_sparse_fixed|teacher_landmark_raw_cal__lightgbm_small_fixed|teacher_only_cal__elastic_lr_sparse_fixed
side_cap_035,retrained,side_cap,1.0,0.35,,wide,side_cap_035::teacher_landmark_raw_cal::elastic_lr_dense_fixed,teacher_landmark_raw_cal__elastic_lr_dense_fixed,teacher_landmark_raw_cal,elastic_lr_dense_fixed,2,4,0.2590992032239217,0.8442944592685606,0.319860806848386,0.4166666666666667,0.24499999999999988,0.8321043675553035,0.22025752548726313,0.24390243902439024,0.24390243902439024,0.9344608879492601,0.7474299893654732,,ok,
softmax_temp_070,retrained,softmax_free,0.7,,,screen,softmax_temp_070::teacher_landmark_gate_raw::lr,teacher_landmark_gate_raw__lr,teacher_landmark_gate_raw,lr,1,5,0.23423899637903767,0.8309527546695966,0.3185432098802718,0.38961038961038963,0.15999999999999995,0.8386531222606095,0.26339671055481173,0.3835616438356164,0.6829268292682927,0.8372093023255814,0.7594824530308402,{'clf__C': 5},ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.31202895409307474,0.8559095903311882,0.3173369081686983,0.4126984126984127,0.7449999999999997,0.8324137575413809,0.2810314002841095,0.3177570093457944,0.4146341463414634,0.8964059196617337,0.7233250620347395,{'clf__C': 0.1},ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_landmark_raw::lr,teacher_landmark_raw__lr,teacher_landmark_raw,lr,1,2,0.3096735756842129,0.8559095903311882,0.3172681702056969,0.42424242424242425,0.18999999999999995,0.8332903625019338,0.28604939941827795,0.3047619047619048,0.3902439024390244,0.8985200845665962,0.7275788727401631,{'clf__C': 0.1},ok,
global_floor_050,retrained,global_floor,1.0,,0.5,screen,global_floor_050::teacher_landmark_raw::elastic_lr,teacher_landmark_raw__elastic_lr,teacher_landmark_raw,elastic_lr,2,2,0.30986106032323135,0.8554387066394601,0.31647248918358767,0.4230769230769231,0.22999999999999993,0.8327231475274584,0.27859091332420466,0.3157894736842105,0.36585365853658536,0.9175475687103594,0.7242112725983694,"{'clf__l1_ratio': 0.1, 'clf__C': 0.5}",ok,
softmax_temp_070,retrained,softmax_free,0.7,,,screen,softmax_temp_070::teacher_landmark_raw::lr_balanced,teacher_landmark_raw__lr_balanced,teacher_landmark_raw,lr_balanced,1,2,0.2318604674400877,0.8414691571181918,0.3154149328086153,0.36363636363636365,0.6949999999999997,0.8254009178569587,0.237912870218855,0.35714285714285715,0.6097560975609756,0.8435517970401691,0.7621410847217299,{'clf__C': 5},ok,
softmax_free,retrained,softmax_free,1.0,,,screen,softmax_free::teacher_only_raw::lr,teacher_only_raw__lr,teacher_only_raw,lr,1,1,0.19047053641001344,0.7709935645895464,0.31538491438318944,0.32941176470588235,0.10499999999999998,0.7781158149847883,0.25813679226231795,0.28402366863905326,0.5853658536585366,0.7801268498942917,0.7321871676710386,{'clf__C': 0.01},ok,
softmax_free,retrained,softmax_free,1.0,,,screen,softmax_free::teacher_only_raw::lr_balanced,teacher_only_raw__lr_balanced,teacher_only_raw,lr_balanced,1,1,0.19047053641001344,0.7709935645895464,0.31538491438318944,0.32941176470588235,0.5799999999999997,0.7781158149847883,0.25813679226231795,0.2857142857142857,0.5853658536585366,0.7822410147991543,0.7321871676710386,{'clf__C': 0.01},ok,
