Tag,Interval_Name,N,Events,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope
c2_early_late_slope,12M->18M,128,2,0.6111111111111112,0.03538550057537399,0.03853596710333386,0.0,0.9761904761904762,-3.375986677428165,0.3850042583935429
c2_early_late_slope,18M->24M,137,4,0.9116541353383458,0.3698319327731092,0.034488136212603944,0.25,0.9924812030075187,-0.5040310266563,1.8515002728323402
c2_interval_slope_windowcal,1M->3M,68,17,0.52479815455594,0.3058313541969867,0.19222000232775213,1.0,0.0196078431372549,-0.8414430268018627,0.18830637565968436
c2_interval_slope_windowcal,3M->6M,71,10,0.680327868852459,0.3212860335303891,0.11583100544160539,0.8,0.5081967213114754,0.4962880747056514,1.1710343805998056
c2_interval_slope_windowcal,6M->12M,110,8,0.8933823529411764,0.49494736419157825,0.059025442666126804,0.875,0.7941176470588235,3.7460985257238377,2.9116869236471885
c2_interval_slope_windowcal,12M->18M,128,2,0.6706349206349207,0.036962365591397844,0.015555072427057049,0.0,1.0,-0.8984618432279323,0.8817093080684082
c2_interval_slope_windowcal,18M->24M,137,4,0.956766917293233,0.3076048951048951,0.02788500963734333,0.0,1.0,7.817648676211393,2.6555169656471582
c2_anchor_slope_ranked,1M->3M,68,17,0.5570934256055363,0.27377492211115306,0.21247845442931315,0.8823529411764706,0.23529411764705882,-0.9811288486438241,0.15401322503483889
c2_anchor_slope_ranked,3M->6M,71,10,0.6491803278688524,0.3845216634211718,0.14705939316989022,0.6,0.5573770491803278,-1.313386637320495,0.5505591185127268
c2_anchor_slope_ranked,6M->12M,110,8,0.875,0.4517594402938371,0.06460803384601232,0.875,0.7941176470588235,-1.0271785311077033,1.1107905149880806
c2_anchor_slope_ranked,12M->18M,128,2,0.7103174603174603,0.03835125448028674,0.02364628214496441,0.0,0.9523809523809523,-2.80478040894917,0.42081316809125524
c2_anchor_slope_ranked,18M->24M,137,4,0.9398496240601504,0.41805555555555557,0.02368454007276508,0.25,0.9774436090225563,0.12364133781991671,1.1645651262815382
c2_anchor_slope_ranked_tight,1M->3M,68,17,0.5282583621683968,0.2663678222562804,0.21058041635604488,0.9411764705882353,0.19607843137254902,-1.0286133379624978,0.08373669468808312
c2_anchor_slope_ranked_tight,3M->6M,71,10,0.6409836065573771,0.44398407058133793,0.13200511078528626,0.6,0.4918032786885246,-1.147335782160177,0.6407469701017557
c2_anchor_slope_ranked_tight,6M->12M,110,8,0.8700980392156863,0.4647321428571428,0.05898639402467415,0.875,0.803921568627451,-0.6649429087617859,1.254724304247562
c2_anchor_slope_ranked_tight,12M->18M,128,2,0.738095238095238,0.04224137931034483,0.022362994017142597,0.0,0.9285714285714286,-2.621876639830625,0.5025728471279013
c2_anchor_slope_ranked_tight,18M->24M,137,4,0.9548872180451128,0.47435897435897434,0.022120493938518917,0.25,0.9774436090225563,0.8792461141155878,1.487822934355473
c2_anchor_early_late_slope,1M->3M,68,17,0.5259515570934257,0.2658933141115711,0.2222992438726938,0.9411764705882353,0.0784313725490196,-1.043932950618104,0.08649536122278104
c2_anchor_early_late_slope,3M->6M,71,10,0.6524590163934426,0.42896446183971537,0.1468620109154333,0.7,0.36065573770491804,-1.315000286616951,0.5599328358353007
c2_anchor_early_late_slope,6M->12M,110,8,0.8676470588235294,0.4503718017057569,0.06560367846272572,0.875,0.7745098039215687,-1.0104200641684211,1.1775046139200878
c2_anchor_early_late_slope,12M->18M,128,2,0.7341269841269842,0.04177433247200689,0.023802562934219937,0.0,0.9285714285714286,-2.636142051662241,0.5124636233218228
c2_anchor_early_late_slope,18M->24M,137,4,0.9548872180451128,0.47435897435897434,0.022762667772321412,0.5,0.9699248120300752,0.2546860944839337,1.3269452736616794
c2_anchor_slope_ranked_globalcal,1M->3M,68,17,0.5098039215686274,0.2600005742016193,0.19974504029692586,0.9411764705882353,0.09803921568627451,-1.1260974906108574,-0.016733046240768705
c2_anchor_slope_ranked_globalcal,3M->6M,71,10,0.6311475409836065,0.41178016337743073,0.10990551761085723,0.6,0.4098360655737705,-0.09217289686579168,0.9597053159177206
c2_anchor_slope_ranked_globalcal,6M->12M,110,8,0.8688725490196079,0.46819317615092265,0.05546960232837232,0.875,0.803921568627451,1.9494032090802047,2.175388208578493
c2_anchor_slope_ranked_globalcal,12M->18M,128,2,0.7539682539682541,0.045019157088122604,0.017337935802899787,0.0,0.9365079365079365,-1.405924537390613,0.9258339470960415
c2_anchor_slope_ranked_globalcal,18M->24M,137,4,0.9436090225563909,0.44345238095238093,0.02430607338062158,0.25,0.9774436090225563,3.3643348616793305,2.338728642421146
