Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,LightGBM,auc,AUC,1.0,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,LightGBM,recall,Sensitivity,1.0,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,LightGBM,specificity,Specificity,0.9968863518422418,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Train_Fit,Train Fit,LightGBM,f1,F1,0.9825581395348837,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,LightGBM,prauc,PR-AUC,0.19892567618867002,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,LightGBM,auc,AUC,0.7683894086832094,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,LightGBM,recall,Sensitivity,0.47337278106508873,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,LightGBM,specificity,Specificity,0.832381940840685,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Validation_OOF,Validation OOF,LightGBM,f1,F1,0.27972027972027974,0.06999999999999999,2096,169
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,LightGBM,prauc,PR-AUC,0.28945774230157434,0.06999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,LightGBM,auc,AUC,0.8125612334347445,0.06999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,LightGBM,recall,Sensitivity,0.6097560975609756,0.06999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,LightGBM,specificity,Specificity,0.8202959830866807,0.06999999999999999,514,41
BranchA predicted_plus_current_compact,Test_Temporal,Temporal Test,LightGBM,f1,F1,0.33112582781456956,0.06999999999999999,514,41
