Group,Interval_Name,n,positives,AUC,PR_AUC,Brier,Calibration_Intercept,Calibration_Slope
direct_windowed_core,12M->18M,128,2,0.7380952380952381,0.04327731092436975,0.017633312958335194,-1.9903718024183896,0.6818620193867729
direct_windowed_core,18M->24M,137,4,0.9548872180451128,0.5347222222222222,0.02323126094589754,2.922439526455246,2.0751744257214626
direct_windowed_core_plus_champion_calibrated,1M->3M,68,17,0.530565167243368,0.26323716583686196,0.19166427041297435,-0.6562510145568923,0.3121812035138805
direct_windowed_core_plus_champion_calibrated,3M->6M,71,10,0.6557377049180328,0.4525686706232709,0.11030168442990027,0.29627197101327657,1.2395232533874712
direct_windowed_core_plus_champion_calibrated,6M->12M,110,8,0.8651960784313726,0.45575396825396824,0.056657448039439645,1.8280380217316945,2.2692519805040714
direct_windowed_core_plus_champion_calibrated,12M->18M,128,2,0.7380952380952381,0.04327731092436975,0.017118314330982504,-1.8362042198273003,0.7077329822741592
direct_windowed_core_plus_champion_calibrated,18M->24M,137,4,0.9548872180451127,0.4963235294117647,0.023569098013299924,3.152706619349926,2.099131455150507
stage1_nonhyper_scope_plus_champion_calibrated,1M->3M,68,17,0.546712802768166,0.2762576363330255,0.19033035288926486,-0.3502546257542186,0.5273231231133116
stage1_nonhyper_scope_plus_champion_calibrated,3M->6M,71,10,0.6639344262295082,0.45354264782836207,0.11090445648475239,0.03354060737413516,1.1128643969390941
stage1_nonhyper_scope_plus_champion_calibrated,6M->12M,110,8,0.8480392156862746,0.44332502145002145,0.05766701267148859,1.2377403601732127,1.9716034053295948
stage1_nonhyper_scope_plus_champion_calibrated,12M->18M,128,2,0.7460317460317459,0.043498168498168496,0.016972089655426015,-1.856818777827804,0.6986415622979039
stage1_nonhyper_scope_plus_champion_calibrated,18M->24M,137,4,0.9548872180451128,0.48596491228070177,0.024125379637537827,3.2961590380227914,2.1952701137606914
monotonic_tree_direct_plus_champion_calibrated,1M->3M,68,17,0.5697808535178777,0.29278379145425854,0.18704077513048653,0.10505182309711866,0.9269474308066974
monotonic_tree_direct_plus_champion_calibrated,3M->6M,71,10,0.6967213114754098,0.39098211748467504,0.11416609638999915,1.0296615876510355,1.6325991831283702
monotonic_tree_direct_plus_champion_calibrated,6M->12M,110,8,0.8541666666666667,0.2992843256388148,0.0616302475606446,1.8876935132192596,2.4876966425207656
monotonic_tree_direct_plus_champion_calibrated,12M->18M,128,2,0.6944444444444444,0.04390681003584229,0.01659900045833309,-2.168310908972967,0.6032989917702227
monotonic_tree_direct_plus_champion_calibrated,18M->24M,137,4,0.943609022556391,0.505787037037037,0.024368944941209093,4.581331306434306,2.7011988901769426
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,1M->3M,68,17,0.544405997693195,0.27552941553026067,0.1937389976130782,-0.7155256963638001,0.2672197060547184
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,3M->6M,71,10,0.6426229508196721,0.34272256982783295,0.1108180717991139,-0.007980303842239307,1.0256546512214237
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,6M->12M,110,8,0.8112745098039215,0.2955399584076055,0.061384477747316556,-0.15093931219099413,1.254912118542299
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,12M->18M,128,2,0.7420634920634921,0.04372294372294372,0.01799881531228427,-2.088029641227957,0.6501886252014013
direct_windowed_core_plus_champion_calibrated_plus_rule_sidecar,18M->24M,137,4,0.9548872180451128,0.39375,0.023916750760068304,2.418732272831774,1.875370763563244
